agency,location,project_title,year,project_link,award_status,file_type,latitude,longitude,formatted_address,place_id,types,street_number,route,locality,sublocality,administrative_area_level_1,administrative_area_level_2,country,postal_code
Abington Police Department,"Pennsylvania, USA",Abington Citizens Police Academy,1995,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1995/95-01.pdf,Submission,pdf,40.1198332,-75.1253492,"Abington, PA, USA",ChIJUb0uvFywxokRwg7H2Q7Qt-I,"locality,political",,,Abington,,Pennsylvania,Montgomery County,United States,
Abington Police Department,"Pennsylvania, USA","Prescription Fraud Enforcement Program,",1995,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1995/95-02.pdf,Submission,pdf,40.1198332,-75.1253492,"Abington, PA, USA",ChIJUb0uvFywxokRwg7H2Q7Qt-I,"locality,political",,,Abington,,Pennsylvania,Montgomery County,United States,
Abington Police Department,"Pennsylvania, USA",Crestmont Community Policing,1995,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1995/95-03.pdf,Submission,pdf,40.1198332,-75.1253492,"Abington, PA, USA",ChIJUb0uvFywxokRwg7H2Q7Qt-I,"locality,political",,,Abington,,Pennsylvania,Montgomery County,United States,
Albemarle County Police Department,"Virginia, USA",Using Community Education to Reduce Larcenies from Unlocked Vehicles,2019,https://popcenter.asu.edu/sites/default/files/19-01_albemarle_va_larcenies_from_vehicles.pdf,Submission,pdf,38.0049875,-78.5172104,"Albemarle County Office Building, 1600 5th St, Charlottesville, VA 22902, USA",ChIJCSn1gtWFs4kRzxFbFunNeqU,"establishment,point_of_interest,police",1600,5th Street,Charlottesville,,Virginia,Albemarle County,United States,22902
Albuquerque Police Department,"New Mexico, USA",To Catch a Thief:Utilizing Bait Technology at the Albuquerque Police Department,2013,https://popcenter.asu.edu/sites/default/files/13-35_albuquerque_pd.pdf,Submission,pdf,35.0843859,-106.650422,"Albuquerque, NM, USA",ChIJe4MJ090KIocR_fbZuM7408A,"locality,political",,,Albuquerque,,New Mexico,Bernalillo County,United States,
Alexandria Police Department,"Virginia, USA",Moped Registration Project,2011,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2011/11-48(F).pdf,Submission,pdf,38.8048355,-77.0469214,"Alexandria, VA, USA",ChIJ8aukkz5NtokRLAHB24Ym9dc,"locality,political",,,Alexandria,,Virginia,,United States,
Alexandria Police Department,"Virginia, USA",Alexandria Alcohol Interdiction Program,1995,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1995/95-04(F).pdf,Honorable Mention,pdf,38.8048355,-77.0469214,"Alexandria, VA, USA",ChIJ8aukkz5NtokRLAHB24Ym9dc,"locality,political",,,Alexandria,,Virginia,,United States,
Altamonte Springs Police Department,"Florida, USA","Repeat Adolescent Delinquency Abatement Responsibility project, RADAR",1998,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1998/98-01.pdf,Submission,pdf,28.6641896,-81.3593058,"175 Newburyport Ave, Altamonte Springs, FL 32701, USA",ChIJj0E3cu1x54gRwVj9r6nvbwo,"establishment,point_of_interest,police",175,Newburyport Avenue,Altamonte Springs,,Florida,Seminole County,United States,32701
Altamonte Springs Police Department,"Florida, USA","Repeat Adolescent Delinquency Abatement Responsibility project, RADAR",1996,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1996/96-01.pdf,Submission,pdf,28.6641896,-81.3593058,"175 Newburyport Ave, Altamonte Springs, FL 32701, USA",ChIJj0E3cu1x54gRwVj9r6nvbwo,"establishment,point_of_interest,police",175,Newburyport Avenue,Altamonte Springs,,Florida,Seminole County,United States,32701
Anaheim Police Department,"California, USA",Beach Boulevard Prostitution  Addressing Human Trafficking in Anaheim:A New Approach to the Oldest Profession,2012,https://popcenter.asu.edu/sites/default/files/12-06f_anaheim.pdf,Submission,pdf,33.830436,-117.9186154,"425 S Harbor Blvd, Anaheim, CA 92805, USA",ChIJcaKhxdfX3IARAf0_JhwAS6g,"establishment,point_of_interest,police",425,South Harbor Boulevard,Anaheim,,California,Orange County,United States,92805
Anaheim Police Department,"California, USA",GRIP,2010,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2010/10-48.pdf,Submission,pdf,33.830436,-117.9186154,"425 S Harbor Blvd, Anaheim, CA 92805, USA",ChIJcaKhxdfX3IARAf0_JhwAS6g,"establishment,point_of_interest,police",425,South Harbor Boulevard,Anaheim,,California,Orange County,United States,92805
Anaheim Police Department,"California, USA",Truancy...Ditching a Life of Crime,2010,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2010/10-46.pdf,Submission,pdf,33.830436,-117.9186154,"425 S Harbor Blvd, Anaheim, CA 92805, USA",ChIJcaKhxdfX3IARAf0_JhwAS6g,"establishment,point_of_interest,police",425,South Harbor Boulevard,Anaheim,,California,Orange County,United States,92805
Anaheim Police Department,"California, USA","GRIP on Gangs: Gang Reduction and Intervention Partnership, An Early Gang Prevention Problem Solving Strategy",2009,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2009/09-55.pdf,Submission,pdf,33.830436,-117.9186154,"425 S Harbor Blvd, Anaheim, CA 92805, USA",ChIJcaKhxdfX3IARAf0_JhwAS6g,"establishment,point_of_interest,police",425,South Harbor Boulevard,Anaheim,,California,Orange County,United States,92805
Anaheim Police Department,"California, USA",The Boogie: When Jack Met SARA,2007,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2007/07-01(F).pdf,Submission,pdf,33.830436,-117.9186154,"425 S Harbor Blvd, Anaheim, CA 92805, USA",ChIJcaKhxdfX3IARAf0_JhwAS6g,"establishment,point_of_interest,police",425,South Harbor Boulevard,Anaheim,,California,Orange County,United States,92805
Anaheim Police Department,"California, USA",Parolee Free Parks,1998,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1998/98-02.pdf,Submission,pdf,33.830436,-117.9186154,"425 S Harbor Blvd, Anaheim, CA 92805, USA",ChIJcaKhxdfX3IARAf0_JhwAS6g,"establishment,point_of_interest,police",425,South Harbor Boulevard,Anaheim,,California,Orange County,United States,92805
Antioch Police Department,"California, USA",City of Antioch Community Action Team,2009,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2009/09-48.pdf,Submission,pdf,38.0161726,-121.8206108,"300 L St, Antioch, CA 94509, USA",ChIJn_51duZZhYAR_fg4HpteeRk,"establishment,point_of_interest,police",300,L Street,Antioch,,California,Contra Costa County,United States,94509
Appleton Police Department,"Wisconsin, USA",The Park Rescue Project,2001,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2001/01-01.pdf,Submission,pdf,44.2603517,-88.4114954,"222 S Walnut St, Appleton, WI 54911, USA",ChIJL8Wu_Tm3A4gRn3jJo4j7NbY,"establishment,point_of_interest,police",222,South Walnut Street,Appleton,,Wisconsin,Outagamie County,United States,54911
Arizona Department of Public Safety,USA,Operation Desert Mirage,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-01.pdf,Submission,pdf,34.0489281,-111.0937311,"Arizona, USA",ChIJaxhMy-sIK4cRcc3Bf7EnOUI,"administrative_area_level_1,political",,,,,Arizona,,United States,
Arizona Department of Public Safety,USA,Operation Street Sweep,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-02.pdf,Submission,pdf,34.0489281,-111.0937311,"Arizona, USA",ChIJaxhMy-sIK4cRcc3Bf7EnOUI,"administrative_area_level_1,political",,,,,Arizona,,United States,
Arizona Department of Public Safety,USA,Combined Accident Reduction Enforcement,1997,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1997/97-02.pdf,Submission,pdf,34.0489281,-111.0937311,"Arizona, USA",ChIJaxhMy-sIK4cRcc3Bf7EnOUI,"administrative_area_level_1,political",,,,,Arizona,,United States,
Arizona Department of Public Safety,USA,"Gang Intelligence and Team Enforcement Mission,",1997,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1997/97-03.pdf,Submission,pdf,34.0489281,-111.0937311,"Arizona, USA",ChIJaxhMy-sIK4cRcc3Bf7EnOUI,"administrative_area_level_1,political",,,,,Arizona,,United States,
Arlington County Police Department,"Virginia, USA",Arlington Restaurant Initiative,2019,https://popcenter.asu.edu/sites/default/files/19-02_arlington_county_va_restaurant_initiative.pdf,Submission,pdf,38.8897592,-77.0832557,"1425 N Courthouse Rd, Arlington, VA 22201, USA",ChIJw-bFa4q2t4kRIrGbC_p6eyg,"establishment,local_government_office,point_of_interest,police",1425,North Courthouse Road,Arlington,,Virginia,Arlington County,United States,22201
Arlington County Police Department,"Virginia, USA","The Clarendon DetailReducing Public Intoxication, Disorder, and Assault",2013,https://popcenter.asu.edu/sites/default/files/13-10_arlington_county_va.pdf,Submission,pdf,38.8897592,-77.0832557,"1425 N Courthouse Rd, Arlington, VA 22201, USA",ChIJw-bFa4q2t4kRIrGbC_p6eyg,"establishment,local_government_office,point_of_interest,police",1425,North Courthouse Road,Arlington,,Virginia,Arlington County,United States,22201
Arlington Police Department,"Texas, USA",Project RAISE,2018,https://popcenter.asu.edu/sites/default/files/18-04_arlington_tx.pdf,Submission,pdf,32.735687,-97.1080656,"Arlington, TX, USA",ChIJ05gI5NJiToYRUVOgH6z2Xgs,"locality,political",,,Arlington,,Texas,Tarrant County,United States,
Arlington Police Department,"Texas, USA",Walmart Restorative Justice Initiative,2016,https://popcenter.asu.edu/sites/default/files/16-23_arlington_tx.pdf,Finalist,pdf,32.735687,-97.1080656,"Arlington, TX, USA",ChIJ05gI5NJiToYRUVOgH6z2Xgs,"locality,political",,,Arlington,,Texas,Tarrant County,United States,
Arlington Police Department,"Texas, USA",Retail District Crime Reduction Plan: Changing the Criminal Perception,2013,https://popcenter.asu.edu/sites/default/files/13-33_arlington_tx.pdf,Submission,pdf,32.735687,-97.1080656,"Arlington, TX, USA",ChIJ05gI5NJiToYRUVOgH6z2Xgs,"locality,political",,,Arlington,,Texas,Tarrant County,United States,
Arlington Police Department,"Texas, USA",You Never Know Campaign,2011,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2011/11-22.pdf,Submission,pdf,32.735687,-97.1080656,"Arlington, TX, USA",ChIJ05gI5NJiToYRUVOgH6z2Xgs,"locality,political",,,Arlington,,Texas,Tarrant County,United States,
Arlington Police Department,"Texas, USA",Burglary of Motor Vehicle,2009,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2009/09-37.pdf,Submission,pdf,32.735687,-97.1080656,"Arlington, TX, USA",ChIJ05gI5NJiToYRUVOgH6z2Xgs,"locality,political",,,Arlington,,Texas,Tarrant County,United States,
Arlington Police Department,"Texas, USA",Operation Spotlight,2008,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2008/08-01(F).pdf,Finalist,pdf,32.735687,-97.1080656,"Arlington, TX, USA",ChIJ05gI5NJiToYRUVOgH6z2Xgs,"locality,political",,,Arlington,,Texas,Tarrant County,United States,
Arlington Police Department,"Texas, USA",Arlington Strong Neighborhood Initiative Pilot Area,2007,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2007/07-02.pdf,Submission,pdf,32.735687,-97.1080656,"Arlington, TX, USA",ChIJ05gI5NJiToYRUVOgH6z2Xgs,"locality,political",,,Arlington,,Texas,Tarrant County,United States,
Arlington Police Department,"Texas, USA",Citizen Notification Service and CrimeWeb,2007,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2007/07-03.pdf,Submission,pdf,32.735687,-97.1080656,"Arlington, TX, USA",ChIJ05gI5NJiToYRUVOgH6z2Xgs,"locality,political",,,Arlington,,Texas,Tarrant County,United States,
Arlington Police Department,"Texas, USA",Stopping OpenAir Drug Sales on West Cedar Street,2006,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2006/06-01.pdf,Submission,pdf,32.735687,-97.1080656,"Arlington, TX, USA",ChIJ05gI5NJiToYRUVOgH6z2Xgs,"locality,political",,,Arlington,,Texas,Tarrant County,United States,
Arlington Police Department,"Texas, USA",Partners Against Chronic Truancy,2001,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2001/01-02.pdf,Submission,pdf,32.735687,-97.1080656,"Arlington, TX, USA",ChIJ05gI5NJiToYRUVOgH6z2Xgs,"locality,political",,,Arlington,,Texas,Tarrant County,United States,
Arlington Police Department,"Texas, USA",MultiHousing Miracles,2001,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2001/01-03.pdf,Submission,pdf,32.735687,-97.1080656,"Arlington, TX, USA",ChIJ05gI5NJiToYRUVOgH6z2Xgs,"locality,political",,,Arlington,,Texas,Tarrant County,United States,
Arlington Police Department,"Texas, USA",Cowboys: A Problem Solving Initiative,1998,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1998/98-03.pdf,Submission,pdf,32.735687,-97.1080656,"Arlington, TX, USA",ChIJ05gI5NJiToYRUVOgH6z2Xgs,"locality,political",,,Arlington,,Texas,Tarrant County,United States,
Arvada Police Department,"Colorado, USA","Fighting Neighborhood Terrorism: Resolution for a Distressed Community in Arvada, Colorado",2002,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2002/02-01.pdf,Submission,pdf,39.8033474,-105.087797,"8101 Ralston Rd, Arvada, CO 80002, USA",ChIJNWSRGSmGa4cR5wp_be5MI_A,"establishment,point_of_interest,police",8101,Ralston Road,Arvada,,Colorado,Jefferson County,United States,80002
Arvada Police Department,"Colorado, USA",Crimes Against Children Unit,1996,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1996/96-02.pdf,Submission,pdf,39.8033474,-105.087797,"8101 Ralston Rd, Arvada, CO 80002, USA",ChIJNWSRGSmGa4cR5wp_be5MI_A,"establishment,point_of_interest,police",8101,Ralston Road,Arvada,,Colorado,Jefferson County,United States,80002
Arvada Police Department,"Colorado, USA","Adopt a District, Antigraffiti Program",1995,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1995/95-05.pdf,Submission,pdf,39.8033474,-105.087797,"8101 Ralston Rd, Arvada, CO 80002, USA",ChIJNWSRGSmGa4cR5wp_be5MI_A,"establishment,point_of_interest,police",8101,Ralston Road,Arvada,,Colorado,Jefferson County,United States,80002
Asheville Police Department,"North Carolina, USA",177 Flint Street,1995,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1995/95-06.pdf,Submission,pdf,35.5949368,-82.5500069,"100 Court Plaza, Asheville, NC 28801, USA",ChIJET12y1nzWYgRMFiR1dcCWxw,"establishment,point_of_interest,police",100,Court Plaza,Asheville,,North Carolina,Buncombe County,United States,28801
Atlanta Police Department,"Georgia, USA",Downtown Clean Up,1998,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1998/98-04.pdf,Submission,pdf,33.748752,-84.3876845,"Atlanta, GA, USA",ChIJjQmTaV0E9YgRC2MLmS_e_mY,"locality,political",,,Atlanta,,Georgia,Fulton County,United States,
Atlanta Police Department,"Georgia, USA",Chronic Criminal Project,1998,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1998/98-05.pdf,Submission,pdf,33.748752,-84.3876845,"Atlanta, GA, USA",ChIJjQmTaV0E9YgRC2MLmS_e_mY,"locality,political",,,Atlanta,,Georgia,Fulton County,United States,
Auburn Police Department,"Washington, USA",911 17th Street NE,2016,https://popcenter.asu.edu/sites/default/files/16-13a_auburn_wa.pdf,Submission,pdf,47.3070555,-122.2246385,"Auburn Justice Center, 340 E Main St, Auburn, WA 98002, USA",ChIJ2Tu3lnpYkFQRWALCSGRhWo0,"establishment,point_of_interest,police",340,East Main Street,Auburn,,Washington,King County,United States,98002
Aurora Police Department,"Colorado, USA",Red Coach Motor Inn Project,1996,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1996/96-04.pdf,Submission,pdf,39.7294319,-104.8319195,"Aurora, CO, USA",ChIJmyu6IoZYbIcReOaii2jgQYQ,"locality,political",,,Aurora,,Colorado,Arapahoe County,United States,
Aurora Police Department,"Colorado, USA",The Prostitution Dilemma,1996,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1996/96-05.pdf,Submission,pdf,39.7294319,-104.8319195,"Aurora, CO, USA",ChIJmyu6IoZYbIcReOaii2jgQYQ,"locality,political",,,Aurora,,Colorado,Arapahoe County,United States,
Aurora Police Department,"Illinois, USA",Finding Typhoid Mary:Ganging up on Offenders who Facilitate Violence,2013,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-01.pdf,Finalist,pdf,41.7831701,-88.2869797,"1200 E Indian Trail Rd, Aurora, IL 60505, USA",ChIJicabyfj6DogRZlXf_IJASws,"establishment,local_government_office,point_of_interest",1200,East Indian Trail Road,Aurora,,Illinois,Kane County,United States,60505
Aurora Police Department,"Illinois, USA",Liberty Street Task Force,1996,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1996/96-03.pdf,Submission,pdf,41.7831701,-88.2869797,"1200 E Indian Trail Rd, Aurora, IL 60505, USA",ChIJicabyfj6DogRZlXf_IJASws,"establishment,local_government_office,point_of_interest",1200,East Indian Trail Road,Aurora,,Illinois,Kane County,United States,60505
Aurora Police Department,"Illinois, USA",Kane Street Project,1995,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1995/95-07.pdf,Submission,pdf,41.7831701,-88.2869797,"1200 E Indian Trail Rd, Aurora, IL 60505, USA",ChIJicabyfj6DogRZlXf_IJASws,"establishment,local_government_office,point_of_interest",1200,East Indian Trail Road,Aurora,,Illinois,Kane County,United States,60505
Austin Police Department,"Texas, USA",Restore Rundberg Project,2016,https://popcenter.asu.edu/sites/default/files/16-05_austin.pdf,Finalist,pdf,30.267153,-97.7430608,"Austin, TX, USA",ChIJLwPMoJm1RIYRetVp1EtGm10,"locality,political",,,Austin,,Texas,Travis County,United States,
Austin Police Department,"Texas, USA",South Congress Prostitution Project,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-03.pdf,Submission,pdf,30.267153,-97.7430608,"Austin, TX, USA",ChIJLwPMoJm1RIYRetVp1EtGm10,"locality,political",,,Austin,,Texas,Travis County,United States,
Austin Police Department,"Texas, USA",The Meadowbrook Project,1994,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1994/94-08.pdf,Submission,pdf,30.267153,-97.7430608,"Austin, TX, USA",ChIJLwPMoJm1RIYRetVp1EtGm10,"locality,political",,,Austin,,Texas,Travis County,United States,
Austin Police Department,"Texas, USA",Valley Forge/Riley Family Project,1994,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1994/94-01(F).pdf,Honorable Mention,pdf,30.267153,-97.7430608,"Austin, TX, USA",ChIJLwPMoJm1RIYRetVp1EtGm10,"locality,political",,,Austin,,Texas,Travis County,United States,
Austin Police Department,"Texas, USA",St. Johns Neighborhood Project,1994,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1994/94-19.pdf,Submission,pdf,30.267153,-97.7430608,"Austin, TX, USA",ChIJLwPMoJm1RIYRetVp1EtGm10,"locality,political",,,Austin,,Texas,Travis County,United States,
Avon & Somerset Constabulary,United Kingdom,Dementia Safeguarding Scheme,2023,https://popcenter.asu.edu/sites/default/files/dementia_safeguarding_scheme_avon_somerset.pdf,Submission,pdf,51.45756,-2.59358,,,,,,,,,,United Kingdom,
Avon & Somerset Constabulary,United Kingdom,Cyber Futures,2019,https://popcenter.asu.edu/sites/default/files/19-03_avon_and_somerset_uk_cyber_futures.pdf,Submission,pdf,51.45756,-2.59358,,,,,,,,,,United Kingdom,
Avon & Somerset Constabulary,United Kingdom,Insight Bristols Child Sexual Exploitation Model,2019,https://popcenter.asu.edu/sites/default/files/19-04_bristol_uk_insight_cse.pdf,Submission,pdf,51.45756,-2.59358,,,,,,,,,,United Kingdom,
Avon & Somerset Constabulary,United Kingdom,The Senior Citizen Liaison Team,2018,https://popcenter.asu.edu/sites/default/files/18-01_avon_somerset.pdf,Submission,pdf,51.45756,-2.59358,,,,,,,,,,United Kingdom,
Avon & Somerset Constabulary,United Kingdom,Dementia GPS Safeguarding Scheme,2018,https://popcenter.asu.edu/sites/default/files/18-14_avon_somerset.pdf,Submission,pdf,51.45756,-2.59358,,,,,,,,,,United Kingdom,
Avon & Somerset Constabulary,United Kingdom,The Senior Citizen Liaison Team,2015,https://popcenter.asu.edu/sites/default/files/15-05_avon_somerset.pdf,Submission,pdf,51.45756,-2.59358,,,,,,,,,,United Kingdom,
Avon & Somerset Constabulary,United Kingdom,Senior Citizen Liaison Team:Driving Down Doorstep Crime and Protecting the Older Adult Population of Bristol,2012,https://popcenter.asu.edu/sites/default/files/12-01_avon_somerset_bristol.pdf,Submission,pdf,51.45756,-2.59358,,,,,,,,,,United Kingdom,
Avon & Somerset Constabulary,United Kingdom,Operation Hercules: Tackling the Use of Fireworks as Weapons,2004,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2004/04-01.pdf,Submission,pdf,51.45756,-2.59358,,,,,,,,,,United Kingdom,
Baltimore Police Department,"Maryland, USA",Community Safe Zone Project,2006,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2006/06-03.pdf,Submission,pdf,39.2903848,-76.6121893,"Baltimore, MD, USA",ChIJt4P01q4DyIkRWOcjQqiWSAQ,"locality,political",,,Baltimore,,Maryland,,United States,
Baltimore Police Department,"Maryland, USA",Chronic Truancy Abatement Program,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-04(F).pdf,Submission,pdf,39.2903848,-76.6121893,"Baltimore, MD, USA",ChIJt4P01q4DyIkRWOcjQqiWSAQ,"locality,political",,,Baltimore,,Maryland,,United States,
Baltimore Police Department,"Maryland, USA",Patterson Park Outreach Program,1998,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1998/98-06.pdf,Submission,pdf,39.2903848,-76.6121893,"Baltimore, MD, USA",ChIJt4P01q4DyIkRWOcjQqiWSAQ,"locality,political",,,Baltimore,,Maryland,,United States,
Baltimore Police Department,"Maryland, USA",Perkins Homes Community Policing Office,1995,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1995/95-09.pdf,Submission,pdf,39.2903848,-76.6121893,"Baltimore, MD, USA",ChIJt4P01q4DyIkRWOcjQqiWSAQ,"locality,political",,,Baltimore,,Maryland,,United States,
Beaverton Police Department,"Oregon, USA",Safe at Home,2006,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2006/06-04.pdf,Submission,pdf,45.4758758,-122.806015,"6125 SW Hall Blvd, Beaverton, OR 97008, USA",ChIJAQAAAB8MlVQR6U187aXFlKc,"establishment,point_of_interest,police",6125,Southwest Hall Boulevard,Beaverton,,Oregon,Washington County,United States,97008
Bedfordshire Police,United Kingdom,Operation Sentinel: Tackling the On and Off Street Sex Tradein Luton,2016,https://popcenter.asu.edu/sites/default/files/16-03_bedfordshire.pdf,Submission,pdf,52.1200114,-0.4931603,"Bedford Rd, Halsey Rd, Kempston, Bedford MK42 8AX, UK",ChIJdbW9zk6xd0gRMZ9_H_LUTaQ,"establishment,point_of_interest,police",,Halsey Road,Kempston,,England,Bedford,United Kingdom,MK42 8AX
Benton Police Department,"Arkansas, USA","Combating Prescription Drug Abuse/Misuse in Benton, Arkansas",2011,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2011/11-58.pdf,Submission,pdf,34.5628934,-92.5850758,"100 S East St, Benton, AR 72015, USA",ChIJRybmvS5SzYcRL18k1nA5MRA,"establishment,point_of_interest,police",100,South East Street,Benton,,Arkansas,Saline County,United States,72015
Benton Police Department,"Arkansas, USA",Every 15 Minutes Program,2007,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2007/07-04.pdf,Submission,pdf,34.5628934,-92.5850758,"100 S East St, Benton, AR 72015, USA",ChIJRybmvS5SzYcRL18k1nA5MRA,"establishment,point_of_interest,police",100,South East Street,Benton,,Arkansas,Saline County,United States,72015
Bermuda Police Service,Bermuda,"Tackling a Neighbourhood Gang Occupation at ""Gun Alley""",2013,https://popcenter.asu.edu/sites/default/files/13-27_bermuda.pdf,Submission,pdf,32.3078,-64.7505,Bermuda,ChIJpbBohp4TLYoRvLiZLMf93zw,"country,political",,,,,,,Bermuda,
Boise Police Department,"Idaho, USA",Organized Retail Crime Interdiction:A Partnership That Works,2012,https://popcenter.asu.edu/sites/default/files/12-03_boise_pd.pdf,Submission,pdf,43.6077117,-116.3016967,"City Hall West, 333 N Mark Stall Pl, Boise, ID 83704, USA",ChIJe-Rg4xVWrlQReOE_jBz35o4,"establishment,local_government_office,point_of_interest",333,North Mark Stall Place,Boise,,Idaho,Ada County,United States,83704
Boise Police Department,"Idaho, USA",Policing Boises Downtown Entertainment District,2008,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2008/08-02.pdf,Submission,pdf,43.6077117,-116.3016967,"City Hall West, 333 N Mark Stall Pl, Boise, ID 83704, USA",ChIJe-Rg4xVWrlQReOE_jBz35o4,"establishment,local_government_office,point_of_interest",333,North Mark Stall Place,Boise,,Idaho,Ada County,United States,83704
Boise Police Department,"Idaho, USA",Boise River Float,2006,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2006/06-05.pdf,Submission,pdf,43.6077117,-116.3016967,"City Hall West, 333 N Mark Stall Pl, Boise, ID 83704, USA",ChIJe-Rg4xVWrlQReOE_jBz35o4,"establishment,local_government_office,point_of_interest",333,North Mark Stall Place,Boise,,Idaho,Ada County,United States,83704
Boston Police Department,"Massachusetts, USA",Safe Street Teams ProblemOriented Policing Initiative,2012,https://popcenter.asu.edu/sites/default/files/12-05f_boston.pdf,Finalist,pdf,42.3600825,-71.0588801,"Boston, MA, USA",ChIJGzE9DS1l44kRoOhiASS_fHg,"locality,political",,,Boston,,Massachusetts,Suffolk County,United States,
Boston Police Department,"Massachusetts, USA",District D14: Breaking  Entering Solution Plan,2008,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2008/08-03(F).pdf,Submission,pdf,42.3600825,-71.0588801,"Boston, MA, USA",ChIJGzE9DS1l44kRoOhiASS_fHg,"locality,political",,,Boston,,Massachusetts,Suffolk County,United States,
Boston Police Department,"Massachusetts, USA",Home Safe,2006,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2006/06-06.pdf,Submission,pdf,42.3600825,-71.0588801,"Boston, MA, USA",ChIJGzE9DS1l44kRoOhiASS_fHg,"locality,political",,,Boston,,Massachusetts,Suffolk County,United States,
Boston Police Department,"Massachusetts, USA",Operation Cloak and Dagger,2005,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2005/05-01(F).pdf,Submission,pdf,42.3600825,-71.0588801,"Boston, MA, USA",ChIJGzE9DS1l44kRoOhiASS_fHg,"locality,political",,,Boston,,Massachusetts,Suffolk County,United States,
Boston Police Department,"Massachusetts, USA",Boston Reentry Initiative,2004,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2004/04-02.pdf,Submission,pdf,42.3600825,-71.0588801,"Boston, MA, USA",ChIJGzE9DS1l44kRoOhiASS_fHg,"locality,political",,,Boston,,Massachusetts,Suffolk County,United States,
Boston Police Department,"Massachusetts, USA",Unsolved Shootings Project,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-02.pdf,Submission,pdf,42.3600825,-71.0588801,"Boston, MA, USA",ChIJGzE9DS1l44kRoOhiASS_fHg,"locality,political",,,Boston,,Massachusetts,Suffolk County,United States,
Boston Police Department,"Massachusetts, USA",School Impact Project,2001,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2001/01-06.pdf,Submission,pdf,42.3600825,-71.0588801,"Boston, MA, USA",ChIJGzE9DS1l44kRoOhiASS_fHg,"locality,political",,,Boston,,Massachusetts,Suffolk County,United States,
