agency,location,project_title,year,project_link,award_status,file_type,latitude,longitude,formatted_address,place_id,types,street_number,route,locality,sublocality,administrative_area_level_1,administrative_area_level_2,country,postal_code
Cincinnati Police Department,"Ohio, USA",Code Enforcement Response Team,2010,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2010/10-40.pdf,Submission,pdf,39.1031182,-84.5120196,"Cincinnati, OH, USA",ChIJ-SE43rFRQIgRF5PA5It--2k,"locality,political",,,Cincinnati,,Ohio,Hamilton County,United States,
Cincinnati Police Department,"Ohio, USA",Fergus Street Community ProblemOriented Policing,2007,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2007/07-07.pdf,Submission,pdf,39.1031182,-84.5120196,"Cincinnati, OH, USA",ChIJ-SE43rFRQIgRF5PA5It--2k,"locality,political",,,Cincinnati,,Ohio,Hamilton County,United States,
Citrus Heights Police Department,"California, USA",Homeless Outreach Program  Education,2019,https://popcenter.asu.edu/sites/default/files/19-06_citrus_heights_ca_hope.pdf,Submission,pdf,38.6805058,-121.2982606,"6315 Fountain Square Dr, Citrus Heights, CA 95621, USA",ChIJGcfJu1LemoAR-ZMbpARItHw,"establishment,point_of_interest,police",6315,Fountain Square Drive,Citrus Heights,,California,Sacramento County,United States,95621
Citrus Heights Police Department,"California, USA",HOPE: Homeless Outreach Program  Education,2018,https://popcenter.asu.edu/sites/default/files/18-17_citrus_heights.pdf,Submission,pdf,38.6805058,-121.2982606,"6315 Fountain Square Dr, Citrus Heights, CA 95621, USA",ChIJGcfJu1LemoAR-ZMbpARItHw,"establishment,point_of_interest,police",6315,Fountain Square Drive,Citrus Heights,,California,Sacramento County,United States,95621
Citrus Heights Police Department,"California, USA",HomelessOutreach Program and Education: HOPE Homeless/Transient Survey and Response,2016,https://popcenter.asu.edu/sites/default/files/16-17a_citrus_heights.pdf,Submission,pdf,38.6805058,-121.2982606,"6315 Fountain Square Dr, Citrus Heights, CA 95621, USA",ChIJGcfJu1LemoAR-ZMbpARItHw,"establishment,point_of_interest,police",6315,Fountain Square Drive,Citrus Heights,,California,Sacramento County,United States,95621
Citrus Heights Police Department,"California, USA",It Started with a Noise Complaint,2016,https://popcenter.asu.edu/sites/default/files/16-18_citrus_heights.pdf,Submission,pdf,38.6805058,-121.2982606,"6315 Fountain Square Dr, Citrus Heights, CA 95621, USA",ChIJGcfJu1LemoAR-ZMbpARItHw,"establishment,point_of_interest,police",6315,Fountain Square Drive,Citrus Heights,,California,Sacramento County,United States,95621
Citrus Heights Police Department,"California, USA",Reclaiming Sayonara Drive,2013,https://popcenter.asu.edu/sites/default/files/13-36_citrus_heights_pd.pdf,Submission,pdf,38.6805058,-121.2982606,"6315 Fountain Square Dr, Citrus Heights, CA 95621, USA",ChIJGcfJu1LemoAR-ZMbpARItHw,"establishment,point_of_interest,police",6315,Fountain Square Drive,Citrus Heights,,California,Sacramento County,United States,95621
Citrus Heights Police Department,"California, USA",Finding Hope: Bringing Transformation to Families of Domestic Violence,2011,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2011/11-26.pdf,Submission,pdf,38.6805058,-121.2982606,"6315 Fountain Square Dr, Citrus Heights, CA 95621, USA",ChIJGcfJu1LemoAR-ZMbpARItHw,"establishment,point_of_interest,police",6315,Fountain Square Drive,Citrus Heights,,California,Sacramento County,United States,95621
Citrus Heights Police Department,"California, USA",Goodbye Sayonara,2010,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2010/10-43.pdf,Submission,pdf,38.6805058,-121.2982606,"6315 Fountain Square Dr, Citrus Heights, CA 95621, USA",ChIJGcfJu1LemoAR-ZMbpARItHw,"establishment,point_of_interest,police",6315,Fountain Square Drive,Citrus Heights,,California,Sacramento County,United States,95621
Clearwater Police Department,"Florida, USA",Clearwater Homeless Intervention Project,2001,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2001/01-13.pdf,Submission,pdf,27.9634791,-82.7972781,"645 Pierce St, Clearwater, FL 33756, USA",ChIJZYpqIufwwogRQIzyO9TKWJc,"establishment,point_of_interest,police",645,Pierce Street,Clearwater,,Florida,Pinellas County,United States,33756
